City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,north bend,43.4065,-124.2243,15.69,82,100,7.2,US,1685228715
1,albany,42.6001,-73.9662,24.89,39,0,0.39,US,1685228456
2,margaret river,-33.95,115.0667,14.88,71,52,2.06,AU,1685228721
3,yeed,4.55,43.0333,24.77,56,83,6.0,SO,1685228722
4,nemuro,43.3236,145.575,10.87,87,100,6.26,JP,1685228722
5,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,71,75,1.0,RU,1685228722
6,al kharijah,25.4514,30.5464,26.51,37,99,8.24,EG,1685228722
7,pamandzi,-12.7967,45.2794,23.88,88,0,2.57,YT,1685228506
8,weno,7.4515,151.8468,29.97,79,75,3.6,FM,1685228511
9,ilulissat,69.2167,-51.1,-5.56,80,72,5.37,GL,1685228723
10,new richmond,45.123,-92.5366,27.69,34,0,4.63,US,1685228723
11,baiti,13.745,-14.7482,36.61,22,92,2.7,SN,1685228723
12,inongo,-1.95,18.2667,21.31,98,100,2.38,CD,1685228723
13,port mathurin,-19.6833,63.4167,25.42,72,99,8.93,MU,1685228723
14,hermanus,-34.4187,19.2345,8.22,56,63,1.61,ZA,1685228723
15,tiksi,71.6872,128.8694,2.27,97,100,6.01,RU,1685228723
16,aktau,43.65,51.2,18.32,73,0,5.06,KZ,1685228724
17,talnakh,69.4865,88.3972,5.67,81,58,4.7,RU,1685228724
18,port-aux-francais,-49.35,70.2167,4.94,87,100,14.57,TF,1685228724
19,laojunmiao,39.8333,97.7333,11.25,40,100,3.39,CN,1685228724
20,cho dok,10.7,105.1167,26.29,87,100,2.34,VN,1685228724
21,chonchi,-42.6128,-73.8092,3.56,90,76,1.09,CL,1685228556
22,thompson,55.7435,-97.8558,19.09,48,40,1.03,CA,1685228722
23,fale old settlement,-9.3852,-171.2468,28.75,76,32,5.33,TK,1685228725
24,grytviken,-54.2811,-36.5092,0.27,81,93,6.4,GS,1685228725
25,punta arenas,-53.15,-70.9167,5.06,75,75,8.23,CL,1685228432
26,adamstown,-25.066,-130.1015,22.95,73,30,10.6,PN,1685228726
27,kalifornsky,60.4183,-151.29,10.71,66,0,7.2,US,1685228726
28,vilyuchinsk,52.9306,158.4028,9.15,72,98,1.37,RU,1685228726
29,puerto ayora,-0.7393,-90.3518,29.98,92,71,4.02,EC,1685228727
30,blackmans bay,-43.0167,147.3167,10.41,88,100,1.3,AU,1685228727
31,yellowknife,62.456,-114.3525,21.29,26,40,5.14,CA,1685228582
32,sitka,57.0531,-135.33,7.79,90,100,3.14,US,1685228728
33,forster,-32.1667,152.5167,12.43,64,0,2.67,AU,1685228728
34,chistopol',55.3631,50.6424,17.74,72,97,3.12,RU,1685228729
35,kijang,35.2442,129.2139,20.85,90,100,4.69,KR,1685228729
36,bethel,41.3712,-73.414,23.35,43,0,4.12,US,1685228729
37,langtoucun,40.0261,124.3286,15.41,93,100,2.44,CN,1685228729
38,al kharj,24.155,47.3346,30.89,27,0,5.51,SA,1685228730
39,yeppoon,-23.1333,150.7333,13.88,46,0,2.57,AU,1685228730
40,edinburgh of the seven seas,-37.0676,-12.3116,12.39,53,44,1.7,SH,1685228730
41,jamestown,42.097,-79.2353,21.8,37,0,4.63,US,1685228730
42,waitangi,-43.9535,-176.5597,16.01,92,69,0.89,NZ,1685228731
43,moss vale,-34.55,150.3833,7.78,61,36,3.99,AU,1685228731
44,atafu village,-8.5421,-172.5159,29.24,71,16,5.89,TK,1685228731
45,yangjiang,21.85,111.9667,26.25,89,5,2.41,CN,1685228731
46,west island,-12.1568,96.8225,25.99,83,12,2.06,CC,1685228732
47,kruisfontein,-34.0033,24.7314,11.04,35,0,2.4,ZA,1685228732
48,ashmyany,54.425,25.9378,8.0,62,47,2.18,BY,1685228734
49,colon,9.3592,-79.9014,26.64,82,99,1.34,PA,1685228734
50,ascension,30.2169,-90.9001,29.12,52,75,2.57,US,1685228734
51,cabedelo,-6.9811,-34.8339,26.37,83,2,4.31,BR,1685228702
52,dudinka,69.4058,86.1778,5.9,80,35,7.39,RU,1685228575
53,mumbwa,-14.9783,27.0619,14.46,52,3,2.9,ZM,1685228736
54,cabo san lucas,22.8909,-109.9124,32.01,53,20,6.69,MX,1685228543
55,olonkinbyen,70.9221,-8.7187,-0.6,72,44,6.22,SJ,1685228737
56,paita,-5.0892,-81.1144,24.59,77,76,8.18,PE,1685228737
57,geraldton,-28.7667,114.6,6.23,75,100,3.09,AU,1685228597
58,aleg,17.0481,-13.9209,32.69,32,100,7.18,MR,1685228737
59,cururupu,-1.8283,-44.8683,24.03,94,29,1.18,BR,1685228738
60,zhaotong,27.3167,103.7167,16.83,80,84,0.89,CN,1685228738
61,peruibe,-24.32,-46.9983,21.25,80,44,2.08,BR,1685228738
62,whitehorse,60.7161,-135.0538,8.94,61,100,7.72,CA,1685228499
63,utrik,11.2278,169.8474,27.15,78,100,6.63,MH,1685228739
64,san patricio,28.017,-97.5169,30.4,52,49,6.06,US,1685228739
65,puerto natales,-51.7236,-72.4875,1.2,86,97,2.85,CL,1685228591
66,badger,64.8,-147.5333,19.44,30,20,2.57,US,1685228739
67,kurumkan,54.3,110.3,9.29,64,100,0.63,RU,1685228739
68,cyangugu,-2.4846,28.9075,14.83,94,72,0.65,RW,1685228740
69,keflavik,64.0049,-22.5624,6.95,75,75,8.23,IS,1685228740
70,arraial do cabo,-22.9661,-42.0278,22.57,91,8,6.18,BR,1685228740
71,carauari,-4.8828,-66.8958,24.41,96,52,0.47,BR,1685228726
72,marquette,46.5333,-87.6335,24.69,33,8,0.89,US,1685228740
73,iqaluit,63.7506,-68.5145,-3.15,68,75,3.6,CA,1685228736
74,isafjordur,66.0755,-23.124,4.92,82,32,5.69,IS,1685228740
75,arth,47.0634,8.5235,17.27,77,0,2.06,CH,1685228741
76,peace river,56.2501,-117.286,26.17,29,20,5.14,CA,1685228741
77,ternate,0.8,127.4,27.59,75,100,3.79,ID,1685228741
78,invercargill,-46.4,168.35,9.88,70,99,2.69,NZ,1685228741
79,radziejow,52.6248,18.5277,7.68,73,16,2.82,PL,1685228741
80,mount gambier,-37.8333,140.7667,11.46,86,100,3.69,AU,1685228741
81,yekaterinoslavka,50.3734,129.1139,8.87,82,77,5.54,RU,1685228741
82,marsh harbour,26.5412,-77.0636,27.85,66,3,2.69,BS,1685228742
83,manukan,8.5333,123.1,27.27,84,80,3.71,PH,1685228742
84,afaahiti,-17.75,-149.2833,28.93,76,38,8.71,PF,1685228742
85,papatowai,-46.5619,169.4708,10.98,67,97,3.15,NZ,1685228742
86,medicine hat,50.0501,-110.6683,17.55,72,100,8.23,CA,1685228720
87,xai-xai,-25.0519,33.6442,18.86,85,98,3.07,MZ,1685228743
88,lospalos,-8.5186,127.0025,22.17,81,74,3.38,TL,1685228743
89,kununurra,-15.7667,128.7333,12.99,62,44,1.03,AU,1685228674
